model,seed,threshold,accuracy,specificity,recall,precision,f1,fp,fn
pfx600_rf_sw0.35,97,0.47,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_rf_sw0.35,102,0.52,0.8518518518518519,0.6,0.9090909090909091,0.9090909090909091,0.9090909090909091,2,2
pfx600_rf_sw0.35,110,0.5599999999999999,0.8461538461538461,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.35,113,0.6058751805657507,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,114,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,119,0.74,0.72,0.8333333333333334,0.6842105263157895,0.9285714285714286,0.7878787878787878,1,6
pfx600_rf_sw0.35,130,0.6099999999999999,0.96,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.35,131,0.32999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,145,0.6163873182439934,0.72,1.0,0.65,1.0,0.7878787878787878,0,7
pfx600_rf_sw0.35,160,0.7799999999999999,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.35,170,0.6399999999999999,0.7857142857142857,1.0,0.7272727272727273,1.0,0.8421052631578947,0,6
pfx600_rf_sw0.35,188,0.3,0.875,0.5,1.0,0.8571428571428571,0.9230769230769231,3,0
pfx600_rf_sw0.35,208,0.32,0.8888888888888888,0.5,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.35,240,0.5599999999999999,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.35,244,0.31,0.92,0.6666666666666666,1.0,0.9047619047619048,0.95,2,0
pfx600_rf_sw0.35,261,0.57,0.84,1.0,0.8,1.0,0.8888888888888888,0,4
pfx600_rf_sw0.35,269,0.6099999999999999,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.35,275,0.74,0.8846153846153846,1.0,0.85,1.0,0.918918918918919,0,3
pfx600_rf_sw0.35,289,0.3876226392181575,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,0,0.51,0.8846153846153846,0.8333333333333334,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.65,4,0.47,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_rf_sw0.65,7,0.3,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_rf_sw0.65,20,0.35,0.96,0.8333333333333334,1.0,0.95,0.9743589743589743,1,0
pfx600_rf_sw0.65,33,0.3,0.8214285714285714,0.3333333333333333,0.9545454545454546,0.84,0.8936170212765957,4,1
pfx600_rf_sw0.65,55,0.6699999999999999,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,69,0.36,0.8888888888888888,0.6666666666666666,0.9523809523809523,0.9090909090909091,0.9302325581395349,2,1
pfx600_rf_sw0.65,72,0.6099999999999999,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.65,73,0.57,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.65,88,0.69,0.7777777777777778,0.6,0.8181818181818182,0.9,0.8571428571428571,2,4
pfx600_rf_sw0.65,91,0.6799999999999999,0.875,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_rf_sw0.65,97,0.6099999999999999,0.8888888888888888,1.0,0.8571428571428571,1.0,0.9230769230769231,0,3
pfx600_rf_sw0.65,102,0.59,0.8518518518518519,0.6,0.9090909090909091,0.9090909090909091,0.9090909090909091,2,2
pfx600_rf_sw0.65,110,0.5299999999999999,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.65,113,0.5499999999999999,0.9615384615384616,0.8333333333333334,1.0,0.9523809523809523,0.975609756097561,1,0
pfx600_rf_sw0.65,114,0.42,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,119,0.7,0.76,1.0,0.6842105263157895,1.0,0.8125,0,6
pfx600_rf_sw0.65,130,0.6099999999999999,0.92,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.65,131,0.3,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,145,0.42999999999999994,0.92,0.8,0.95,0.95,0.95,1,1
pfx600_rf_sw0.65,160,0.8299999999999998,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.65,170,0.7,0.7857142857142857,1.0,0.7272727272727273,1.0,0.8421052631578947,0,6
pfx600_rf_sw0.65,188,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,208,0.42999999999999994,0.9259259259259259,0.6666666666666666,1.0,0.9130434782608695,0.9545454545454546,2,0
pfx600_rf_sw0.65,240,0.49,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_rf_sw0.65,244,0.5599999999999999,0.92,1.0,0.8947368421052632,1.0,0.9444444444444444,0,2
pfx600_rf_sw0.65,261,0.48,0.96,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.65,269,0.41,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.65,275,0.6399999999999999,0.8846153846153846,0.8333333333333334,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.65,289,0.3,0.9642857142857143,0.8333333333333334,1.0,0.9565217391304348,0.9777777777777777,1,0
